id,title,start,end,tags,className,allDay
4306,Graduating Class Challenge Future Alumni Downtown Cafe,2018-01-23 11:00:00,2018-01-23 15:00:00,"0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4307,Graduating Class Challenge 2018 Class Photo and Professional Headshots,2018-01-24 11:30:00,2018-01-24 13:00:00,"0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4308,Graduating Class Challenge Student-Alumni Connect Happy Hour,2018-01-25 19:30:00,2018-01-25 21:00:00,"0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4310,Social Insurance Number clinics,2018-01-09 09:45:00,2018-01-09 16:00:00,"0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4311,Social Insurance Number clinics,2018-01-11 09:45:00,2018-01-11 16:00:00,"0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4312R942,Technologies of Justice Conference (January 26 and 27),2018-01-26 08:30:00,2018-01-27 16:00:00,"0,2,0,3,0,0,58,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4313,Public Speaking 101 (Grad Pro Skills),2018-02-01 12:00:00,2018-02-01 13:00:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4314,Developing Your Intercultural Self-Awareness (Grad Pro Skills),2018-02-02 11:30:00,2018-02-02 13:30:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4315,Practice Your Presentation (presented by MITACS) - Grad Pro Skills,2018-02-23 09:00:00,2018-02-23 16:30:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4316,Getting It Right in Grad School: Graduate Supervision Roles and Responsibilities (Grad Pro Skills),2018-01-11 12:00:00,2018-01-11 13:00:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4317,Perfecting Literature Reviews (Grad Pro Skills),2018-01-12 12:00:00,2018-01-12 13:00:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4318,Making an impact: Your research identity (Grad Pro Skills),2018-02-21 12:00:00,2018-02-21 01:00:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4319,Writing Up Research (Grad Pro Skills),2018-04-09 13:30:00,2018-04-09 15:30:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4320,No Mind Left Behind: Collaborative Leadership (Grad Pro Skills),2018-02-09 12:00:00,2018-02-09 13:00:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4321,No Mind Left Behind: Collaborative Leadership (Grad Pro Skills),2018-03-29 12:00:00,2018-03-29 13:00:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4322,Values That Guide Us (Grad Pro Skills),2018-01-15 12:00:00,2018-01-15 13:00:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4323,"CVs, Academic Job Search and LinkedIn",2018-02-12 11:30:00,2018-02-12 12:30:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4324,Non-Academic Job Search (Grad Pro Skills),2018-03-12 11:30:00,2018-03-12 12:30:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4325,Networking Skills (presented by MITACS) - Grad Pro Skills,2018-03-27 09:00:00,2018-03-27 16:30:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4326,Career Counselling Workshop (Grad Pro Skills),2018-04-02 12:00:00,2018-04-02 13:00:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4327,Resumés and Cover Letters (Grad Pro Skills),2018-04-06 12:00:00,2018-04-06 13:00:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4328,Respecting Individuals and Supporting Equity (RISE) - Grad Pro Skills,2018-01-24 12:00:00,2018-01-24 13:00:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4329,Indigenous Speaker Series: Bridging Indigenous Knowledge Towards Reconciliation,2018-01-24 17:00:00,2018-01-24 18:30:00,"0,2,0,3,0,49,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0",,False
4331,Go CODE Girl - Free event for girls in grades 7 to 11,2018-02-03 09:00:00,2018-02-03 14:30:00,"0,2,0,3,0,49,0,58,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4332,Computer Science Seminar: Achieving Real-Time Video Summarization on Commodity Hardware,2018-01-17 15:30:00,2018-01-17 17:00:00,"0,2,0,3,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4333,Trajectories of Black Youth Achievements: Challenges and Possibilities,2018-02-07 18:00:00,2018-02-07 21:00:00,"0,2,0,3,0,49,0,58,0,4,0,5,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,27,0,0",,False
4335,Three Minute Thesis (3MT®) - Finals,2018-03-21 14:00:00,2018-03-21 16:00:00,"0,2,0,3,0,49,0,58,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4338,Mother Language Festival 2018,2018-03-15 12:00:00,2018-03-15 16:00:00,"0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,27,0,0",,False
4339,Symposium: Addressing Climate Change,2018-01-25 13:30:00,2018-01-25 18:30:00,"0,2,0,3,0,49,0,58,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0",,False
4341,Financing Your Education Information Night,2018-01-31 19:00:00,2018-01-31 21:00:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0",,False
4342,Pathway Information Night,2018-02-21 18:00:00,2018-02-21 20:00:00,"0,2,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4343,Winter Open House,2018-03-03 09:00:00,2018-03-03 14:00:00,"0,2,0,3,0,49,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0",,False
4344,Hackathon - City of Oshawa,2018-03-03 08:00:00,2018-03-03 18:00:00,"0,0,3,0,0,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0",,False
4345,Computer Science Seminar: Adaptive Single-View 3D Scene Analysis,2018-01-24 15:30:00,2018-01-23 16:30:00,"0,2,0,0,49,0,58,0,4,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4346,International Potluck,2018-02-04 18:00:00,2018-02-04 20:30:00,"0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,27,0,0",,False
4347,Pathways visit - Fleming College,2018-01-31 10:00:00,2018-01-31 14:00:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4348,Pathways visit - Georgian College,2018-01-31 10:00:00,2018-01-31 14:00:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4349,Pathways visit - Fanshawe College,2018-02-01 10:00:00,2018-02-01 14:00:00,"0,0,3,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4350,Pathways visit - St. Clair College,2018-02-01 10:00:00,2018-02-01 13:30:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4351,Pathways visit - Seneca College,2018-02-01 10:00:00,2018-02-01 15:00:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4352,Pathways visit - Canadore College,2018-02-05 10:00:00,2018-02-05 14:00:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4353,Pathways visit - Cambrian College,2018-02-06 10:00:00,2018-02-06 14:00:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4354,Pathways visit - George Brown College,2018-02-06 11:00:00,2018-02-06 14:00:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4355,Pathways visit - George Brown College,2018-02-07 11:00:00,2018-02-07 14:00:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4356,Pathways visit - Durham College,2018-02-08 10:00:00,2018-02-08 14:00:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4357,Pathways visit - Algonquin College,2018-02-13 10:00:00,2018-02-13 14:00:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4358,Pathways visit - Niagara College,2018-02-15 09:00:00,2018-02-15 11:00:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4359,Pathways visit - Niagara College,2018-02-15 12:30:00,2018-02-15 14:30:00,"0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
